,uf,perc_ibge_masculino,perc_ibge_feminino,quantidade_contemplados_total,quantidade_contemplados_masculino,perc_quantidade_contemplados_masculino,quantidade_contemplados_feminino,perc_quantidade_contemplados_feminino,valor_total,valor_masculino,perc_valor_masculino,valor_feminino,perc_valor_feminino
0,AC,0.5,0.5,958,565,0.5897703549060542,393,0.4102296450939457,14422761.120000001,8676123.3,0.6015577203153456,5746637.82,0.39844227968465445
1,AL,0.479,0.521,5686,3131,0.550650721069293,2555,0.449349278930707,33093938.5,19616789.82,0.5927608108657119,13477148.68,0.40723918913428814
2,AM,0.499,0.501,1704,989,0.5803990610328639,715,0.41960093896713613,43129174.730000004,23865382.48,0.5533466065465797,19263792.25,0.4466533934534202
3,AP,0.49700000000000005,0.503,525,249,0.4742857142857143,276,0.5257142857142857,5251226.45,2666365.64,0.5077605518230889,2584860.81,0.4922394481769111
4,BA,0.483,0.517,15711,8329,0.5301381197886831,7382,0.4698618802113169,103669972.92,55656909.56,0.536866249622244,48013063.36,0.46313375037775595
5,CE,0.484,0.516,7417,4111,0.5542672239449913,3306,0.4457327760550088,75654105.66,43586529.49,0.5761290693975537,32067576.169999998,0.4238709306024463
6,DF,0.47700000000000004,0.523,294,170,0.5782312925170068,124,0.4217687074829932,9631699.58,5239810.46,0.5440172231783832,4391889.12,0.45598277682161675
7,ES,0.488,0.512,926,578,0.6241900647948164,348,0.3758099352051836,14276324.02,8769741.54,0.614285689209231,5506582.48,0.385714310790769
8,GO,0.491,0.509,3528,1679,0.47590702947845803,1849,0.5240929705215419,63097890.9,29499962.57,0.4675269196676113,33597928.33,0.5324730803323887
9,MA,0.491,0.509,7464,4057,0.5435423365487674,3407,0.45645766345123256,44469134.33,25055443.73,0.5634344834344339,19413690.6,0.4365655165655662
10,MG,0.488,0.512,17290,9248,0.5348756506651243,8042,0.4651243493348757,162053698.70999998,84435105.25,0.5210316452023671,77618593.46,0.478968354797633
11,MS,0.49200000000000005,0.508,1816,831,0.45759911894273125,985,0.5424008810572687,24222548.189999998,11954594.19,0.4935316506021161,12267954.0,0.506468349397884
12,MT,0.503,0.49700000000000005,1797,820,0.45631608235948806,977,0.5436839176405119,23348848.06,11538825.27,0.49419248608532856,11810022.79,0.5058075139146715
13,PA,0.499,0.501,6850,3609,0.5268613138686131,3241,0.4731386861313869,51903775.129999995,28694218.66,0.552834906288251,23209556.47,0.44716509371174906
14,PB,0.483,0.517,9278,4750,0.5119637852985557,4528,0.48803621470144426,44521802.91,25562566.81,0.5741583929490515,18959236.1,0.42584160705094865
15,PE,0.47700000000000004,0.523,12062,6462,0.5357320510694744,5600,0.46426794893052564,92429310.59,49997640.53,0.540928415573504,42431670.06,0.4590715844264959
16,PI,0.489,0.511,5293,3207,0.6058945777441904,2086,0.3941054222558096,18816684.59,11854840.45,0.6300174928956493,6961844.14,0.3699825071043506
17,PR,0.48700000000000004,0.513,3895,1944,0.49910141206675224,1951,0.5008985879332477,65698908.97,31730532.33,0.48296893856318174,33968376.64,0.5170310614368183
18,RJ,0.47200000000000003,0.528,3973,2024,0.5094387113012837,1949,0.49056128869871635,41213916.86,23042167.8,0.5590870646503265,18171749.06,0.4409129353496735
19,RN,0.484,0.516,4787,2527,0.5278880300814707,2260,0.47211196991852933,28243213.700000003,16388912.8,0.5802779022983493,11854300.9,0.4197220977016507
20,RO,0.498,0.502,468,270,0.5769230769230769,198,0.4230769230769231,6498659.050000001,3705285.2800000003,0.5701615135510147,2793373.77,0.42983848644898515
21,RR,0.503,0.49700000000000005,590,319,0.5406779661016949,271,0.45932203389830506,10587399.51,6134335.01,0.579399597059316,4453064.5,0.42060040294068396
22,RS,0.483,0.517,3490,1895,0.5429799426934098,1595,0.45702005730659023,27328160.310000002,15265769.51,0.5586094832887051,12062390.8,0.44139051671129487
23,SC,0.493,0.507,2733,1314,0.4807903402854007,1419,0.5192096597145993,34312069.78,17471933.3,0.5092066264735837,16840136.48,0.4907933735264163
24,SE,0.479,0.521,2681,1504,0.5609847071988064,1177,0.43901529280119356,18077648.53,10457927.29,0.5785004212602644,7619721.24,0.42149957873973554
25,SP,0.48200000000000004,0.518,11545,6114,0.5295799047206583,5431,0.4704200952793417,180166255.89,94622810.25,0.5251971840263567,85543445.64,0.4748028159736434
26,TO,0.501,0.499,1832,954,0.5207423580786026,878,0.47925764192139736,18304108.810000002,10736897.33,0.5865839982405567,7567211.48,0.4134160017594432
