,uf,valor_executado_rs,qtde_contemplados,valor_urbano,valor_rural,qtde_urbano,qtde_rural,min_valor,mediana_valor,max_valor,media_valor,sum_populacao,valor_executado_perc,perc_contemplados_populacao,valor_executado_percapita,perc_valor_urbano,perc_valor_rural,perc_qtde_urbano,perc_qtde_rural,Acima de 200 mil,Até 2 mil,De 10 a 50 mil,De 2 a 10 mil,De 50 a 200 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,qtd_sexo_Não informado,valor_sexo_Feminino,valor_sexo_Masculino,valor_sexo_Não informado,total_qtd_cpf,total_valor_cpf,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_qtd_sexo_Não informado,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,percentual_valor_sexo_Não informado
0,AC,6586724.67,627,5952592.93,634131.74,534,93,600.0,9994.575,185000.0,10762.622009803921,387852,0.004720038041040335,0.0016165960211627116,16.982572398750037,0.9037257860665975,0.0962742139334025,0.8516746411483254,0.14832535885167464,0,73,171,379,4,59,568,1461081.65,5125643.02,3941.42,600.0,25000.0,7526.445,185000.0,66000.0,28097.724038461536,9152.933964285714,244,324,0,2284860.54,2840782.48,0.0,568,5125643.02,0.4295774647887324,0.5704225352112676,0.0,0.4457705171984451,0.5542294828015549,0.0
1,AL,25166845.74,5109,22318107.03,2847801.21,4073,1035,390.0,2100.0,429746.68,5136.090967346939,994464,0.018034527814230605,0.005137440872671107,25.306944987450525,0.8868058898031773,0.1131568588062558,0.7972205911137209,0.2025836758661186,7,2543,417,2111,31,422,4687,9229307.24,15937538.5,390.0,392.01,10000.0,2000.0,429746.68,70375.0,23015.728778054865,3542.4624360969106,2135,2552,0,6595748.68,9341789.82,0.0,4687,15937538.5,0.45551525496052914,0.5444847450394709,0.0,0.4138498978371095,0.5861501021628904,0.0
2,AM,29899488.39,1453,28036649.18,1707851.28,1288,160,400.0,9891.74,1310077.4,20952.689831814998,2279686,0.02142593317301114,0.0006373684796941333,13.115616970933717,0.9376966192296777,0.057119749265382,0.8864418444597385,0.11011699931176876,12,253,553,542,93,263,1190,13847304.629999999,16052183.76,450.0,400.0,30000.0,7000.0,1310077.4,259607.51,54516.94736220472,13684.726138107417,475,714,1,6931676.26,9117974.9,2532.6,1190,16052183.76,0.39915966386554624,0.6,0.0008403361344537816,0.4318213872727308,0.5680208398013007,0.00015777292596854748
3,AP,6513387.84,413,6074778.3,432309.54,339,72,506.62,3400.0,1344475.68,15964.18588235294,487200,0.004667484967281856,0.0008477011494252873,13.369022660098523,0.9326603066216306,0.06637245479919095,0.8208232445520581,0.17433414043583534,5,181,44,166,17,61,352,5092161.39,1421226.45,942.39,506.62,30000.0,2000.0,1344475.68,38031.76,83478.05557377049,4095.753458213256,186,166,0,704860.8099999999,716365.64,0.0,352,1421226.45,0.5284090909090909,0.4715909090909091,0.0,0.4959524993360488,0.5040475006639512,0.0
4,BA,100514894.0,16312,85888864.54,14489557.22,12317,3960,400.0,3000.0,1035000.0,6362.910299423941,2568928,0.07202883787324559,0.006349730315524608,39.12717444786308,0.8544889331525337,0.14415333532560856,0.7550882785679255,0.24276606179499755,10,5776,1647,8721,158,1382,14930,31258218.38,69256675.62,400.0,400.0,10000.0,3000.0,1035000.0,106500.0,23361.897144992527,4789.866216197524,6961,7967,2,30536588.23,38701439.39,18648.0,14930,69256675.62,0.46624246483590087,0.5336235766912257,0.00013395847287340923,0.4409190588001833,0.5588116819575406,0.00026925924227605885
5,CE,57895018.28,7343,49410283.05,8481035.23,5472,1869,400.0,3000.0,1055000.0,8109.681787365177,2574412,0.04148749224526575,0.002852301807169948,22.48863751411973,0.8534461948182668,0.14648989640149743,0.7451995097371646,0.25452812202097236,14,2739,992,3483,115,693,6650,21194524.9,36700493.38,500.0,400.0,11950.0,3000.0,1055000.0,113718.9,30850.836826783114,5688.235179789213,2948,3702,0,14372656.93,22327836.45,0.0,6650,36700493.38,0.4433082706766917,0.5566917293233082,0.0,0.39162026464288363,0.6083797353571163,0.0
6,DF,19861456.41,317,7349839.47,306555.07,182,80,500.0,4375.0,1999380.0,66426.2756187291,2982818,0.01423269295476175,0.00010627534096951272,6.658621615532694,0.3700554137761743,0.015434672245165933,0.5741324921135647,0.25236593059936907,12,98,28,91,88,66,251,13903499.02,5957957.39,529.0,500.0,100000.0,2638.89,1999380.0,170442.7,248276.7682142857,24518.343168724277,101,150,0,2477243.57,3480713.82,0.0,251,5957957.39,0.40239043824701193,0.5976095617529881,0.0,0.4157873928668698,0.5842126071331303,0.0
7,ES,25863743.169999998,1388,23837388.61,2011354.56,1225,160,381.84,10000.0,475000.0,18741.842876811592,572274,0.018533923575417516,0.0024254116035325735,45.19468501102618,0.9216526955637876,0.07776734198060783,0.8825648414985591,0.11527377521613832,10,35,507,749,87,553,835,14603174.68,11260568.49,381.84,1000.0,12000.0,10000.0,475000.0,220028.41,26696.845850091406,13518.089423769508,313,522,0,4425098.25,6835470.24,0.0,835,11260568.49,0.37485029940119763,0.6251497005988024,0.0,0.3929728995414156,0.6070271004585844,0.0
8,GO,49518835.53,3849,47534590.21,1984245.32,3463,386,400.0,5000.0,640000.0,13020.992776755194,1494599,0.03548513095046673,0.0025752726985632936,33.13185378151598,0.9599294834225679,0.04007051657743213,0.8997142114835022,0.10028578851649779,15,954,710,1988,182,643,3206,18041994.63,31476840.9,460.91,400.0,10750.0,5000.0,390945.31,640000.0,28278.98844827586,9945.289383886255,1661,1544,1,12866678.33,18556912.57,53250.0,3206,31476840.9,0.5180910792264504,0.4815970056144729,0.00031191515907673113,0.40876650775967804,0.5895417722812203,0.001691719959101741
9,MA,51530178.86,7576,46226329.3,4870538.91,6154,1389,400.0,2615.0,755000.0,7219.134051555057,1088057,0.03692645687599578,0.006962870511379459,47.359815579514674,0.8970729448774127,0.09451818366927361,0.8123020063357973,0.18334213305174235,9,3406,710,3300,151,528,7048,21178928.89,30351249.97,681.29,400.0,20630.2,2500.0,755000.0,322558.25,41124.13376699029,4582.704208062812,3216,3832,0,13110404.84,17240845.13,0.0,7048,30351249.97,0.45629965947786605,0.5437003405221339,0.0,0.4319560101464909,0.5680439898535091,0.0
