,uf,valor_executado_rs,qtde_contemplados,valor_urbano,valor_rural,qtde_urbano,qtde_rural,min_valor,mediana_valor,max_valor,media_valor,sum_populacao,valor_executado_perc,perc_contemplados_populacao,valor_executado_percapita,perc_valor_urbano,perc_valor_rural,perc_qtde_urbano,perc_qtde_rural,Acima de 200 mil,Até 2 mil,De 10 a 50 mil,De 2 a 10 mil,De 50 a 200 mil,qtd_tipo_documento_CNPJ,qtd_tipo_documento_CPF,valor_tipo_documento_CNPJ,valor_tipo_documento_CPF,min_valor_tipo_documento_CNPJ,min_valor_tipo_documento_CPF,mediana_valor_tipo_documento_CNPJ,mediana_valor_tipo_documento_CPF,max_valor_tipo_documento_CNPJ,max_valor_tipo_documento_CPF,media_valor_tipo_documento_CNPJ,media_valor_tipo_documento_CPF,qtd_sexo_Feminino,qtd_sexo_Masculino,qtd_sexo_Não informado,valor_sexo_Feminino,valor_sexo_Masculino,valor_sexo_Não informado,total_qtd_cpf,total_valor_cpf,percentual_qtd_sexo_Feminino,percentual_qtd_sexo_Masculino,percentual_qtd_sexo_Não informado,percentual_valor_sexo_Feminino,percentual_valor_sexo_Masculino,percentual_valor_sexo_Não informado
0,AC,24329783.68,1079,21413891.94,2915891.74,891,188,429.37,10670.0,2034002.65,23529.77145067698,880631,0.008464189312306492,0.0012252577981015885,27.62767115852156,0.8801513495413044,0.11984865045869575,0.8257645968489342,0.1742354031510658,10,86,539,404,40,121,958,9907022.56,14422761.12,3941.42,429.37,30000.0,10000.0,2034002.65,113000.0,89252.4554954955,15625.960043336943,393,565,0,5746637.82,8676123.3,0.0,958,14422761.12,0.4102296450939457,0.5897703549060542,0.0,0.3984422796846545,0.6015577203153456,0.0
1,AL,60294994.13,6378,54805755.42,5488301.21,5231,1146,390.0,3000.0,2634948.39,9840.867329851477,3220104,0.020976275482476,0.0019806813692973893,18.724548688489566,0.9089602911617366,0.09102416028380166,0.8201630605205393,0.17968015051740358,19,2543,1121,2566,129,692,5686,27201055.63,33093938.5,390.0,392.01,15000.0,2500.0,2634948.39,167500.0,41719.41047546012,6044.554977168949,2555,3131,0,13477148.68,19616789.82,0.0,5686,33093938.5,0.449349278930707,0.550650721069293,0.0,0.40723918913428814,0.5927608108657119,0.0
2,AM,74122348.91,2075,69240033.86,4137327.12,1858,206,400.0,19138.59,4055691.37,36513.472369458126,4281209,0.025786731263164057,0.00048467617441708637,17.31341518482279,0.9341316738905813,0.05581753925558375,0.895421686746988,0.09927710843373494,29,253,929,575,289,370,1705,30990641.580000002,43131707.33,450.0,400.0,37245.71,13725.84,4055691.37,280000.0,87052.36398876405,25765.655513739544,715,989,1,19263792.25,23865382.48,2532.6,1705,43131707.33,0.41935483870967744,0.580058651026393,0.0005865102639296188,0.44662716693807264,0.5533141152379233,5.8717824004116466e-05
3,AP,23633686.16,649,22227076.62,1400309.54,550,97,506.62,8250.0,1344475.68,36755.343950233284,802837,0.00822202106015099,0.0008083832708258338,29.437714205996983,0.9404828544105538,0.05925057693158434,0.847457627118644,0.14946070878274267,25,181,187,216,40,124,525,18382459.71,5251226.45,942.39,506.62,50000.0,5000.0,1344475.68,170000.0,148245.64282258064,10117.970038535646,276,249,0,2584860.81,2666365.64,0.0,525,5251226.45,0.5257142857142857,0.4742857142857143,0.0,0.4922394481769111,0.5077605518230889,0.0
4,BA,182864308.19,17594,159993921.0,22247914.95,13451,4102,400.0,3359.06,2886960.0,10788.454760471976,14850513,0.06361742230599719,0.0011847402173918167,12.313669446301283,0.874932470877602,0.12166351744750502,0.764521996135046,0.23314766397635558,77,5776,2308,8957,476,1848,15746,78141613.48,104722694.71,400.0,400.0,15000.0,3000.0,2886960.0,400000.0,46128.461322314055,6864.36121591505,7394,8350,2,48419441.64,56284605.07,18648.0,15746,104722694.71,0.4695795757652737,0.5302934078496127,0.00012701638511367967,0.46235862984698783,0.5374632998689001,0.00017807028411215338
5,CE,136622936.07,8256,122473049.75,14146186.32,6284,1970,400.0,4000.0,3228537.25,17037.40317620651,9233656,0.04753031964892616,0.0008941203787535512,14.796190812176672,0.8964311064669979,0.10354181169662519,0.7611434108527132,0.23861434108527133,70,2739,1478,3561,408,838,7418,60953830.41,75669105.66,500.0,400.0,16000.0,3452.0,3228537.25,440000.0,73883.4308,10518.363311092577,3306,4111,1,32067576.169999998,43586529.49,15000.0,7418,75669105.66,0.4456726880560798,0.5541925047182529,0.00013480722566729578,0.4237869060338515,0.5760148624703595,0.0001982314957890306
6,DF,41170700.29,393,40449225.55,721474.74,308,85,500.0,20000.0,2000000.0,110082.0863368984,2982818,0.014323045611837998,0.00013175460252687224,13.802618963007465,0.9824760148620731,0.017523985137926835,0.7837150127226463,0.21628498727735368,29,98,39,91,136,98,295,31432000.71,9738699.58,529.0,500.0,100000.0,3937.5,2000000.0,219196.2,357181.82625,34051.39713286713,124,170,1,4391889.12,5239810.46,107000.0,295,9738699.58,0.42033898305084744,0.576271186440678,0.003389830508474576,0.4509728515519112,0.5380400552411331,0.010987093206955666
7,ES,55760593.34,1883,51200110.23,4545483.11,1682,198,381.84,10000.0,2917394.64,29802.561913415288,4102129,0.019398783992653098,0.00045902993299333104,13.593086258379492,0.9182131531098947,0.08151783970955859,0.893255443441317,0.1051513542219862,26,35,695,916,211,957,926,41484269.32,14276324.02,381.84,1000.0,15000.0,10000.0,2917394.64,220028.41,43805.98661034847,15450.567121212121,348,578,0,5506582.48,8769741.54,0.0,926,14276324.02,0.3758099352051836,0.6241900647948164,0.0,0.385714310790769,0.614285689209231,0.0
8,GO,105845840.4,4340,100290095.08,5505745.32,3931,408,400.0,5000.0,2000000.0,24695.716378908073,7350483,0.03682314823876719,0.0005904373903048276,14.399848336497072,0.9475109716262407,0.05201664325393745,0.9057603686635944,0.09400921658986175,78,954,897,2012,399,793,3547,42419699.5,63426140.9,460.91,400.0,17100.0,5000.0,2000000.0,735000.0,54037.83375796178,18116.578377606398,1861,1685,1,33764128.33,29608762.57,53250.0,3547,63426140.9,0.524668734141528,0.47504933746828304,0.000281928390188892,0.5323377372625235,0.4668227035392595,0.0008395591982169611
9,MA,114921030.05,8366,106105125.91,7334043.49,6867,1456,400.0,3000.0,7792386.6,14707.068089326849,7010960,0.03998035359056933,0.0011932745301642001,16.391625405080045,0.9232872857460087,0.06381811481161537,0.8208223762849629,0.17403777193401865,70,3406,1201,3381,308,902,7464,70451895.72,44469134.33,681.29,400.0,30000.0,2598.34,7792386.6,330000.0,88730.34725440806,6334.63451994302,3407,4057,0,19413690.6,25055443.73,0.0,7464,44469134.33,0.45645766345123256,0.5435423365487674,0.0,0.4365655165655662,0.5634344834344339,0.0
